state,count
MT,26
IN,976
MS,496
OR,238
AZ,4897
MD,5245
NC,6500
WA,1081
KS,729
KY,2098
DE,1267
IA,214
MN,123
NE,23
OH,1776
OK,180
NJ,8563
MO,1329
AK,129
MA,307
NM,112
DC,1187
NH,147
WI,37
IL,3141
VI,46
WV,1291
AL,1793
VT,5
LA,1182
VA,6583
TX,12771
WY,45
PA,4833
CT,56
ID,206
CA,13345
NV,1034
AR,580
ME,3
RI,5
FL,17116
SD,28
TN,1775
UT,381
CO,2636
SC,2745
GA,5136
MI,167
NY,4341
